operator_id,name,experience_years,shift_preference,certification,hire_date,safety_training_pass,monthly_kpi_score
OP001,操作员01,1.9,任意,技师,2020-07-20,True,94.3
OP002,操作员02,12.6,白班,高级,2023-05-06,True,83.9
OP003,操作员03,15.8,任意,技师,2023-12-18,True,97.1
OP004,操作员04,16.0,任意,高级,2018-08-14,False,76.4
OP005,操作员05,6.3,任意,初级,2025-03-21,True,86.8
OP006,操作员06,17.0,任意,中级,2025-05-31,True,90.6
OP007,操作员07,16.2,白班,中级,2023-04-29,True,78.6
OP008,操作员08,16.0,晚班,高级,2020-04-14,False,87.9
OP009,操作员09,9.9,晚班,中级,2025-01-12,False,94.0
OP010,操作员10,8.2,夜班,高级,2022-10-21,True,82.3
OP011,操作员11,14.9,任意,技师,2025-05-09,True,80.7
OP012,操作员12,5.5,白班,中级,2019-04-14,True,96.7
OP013,操作员13,17.5,白班,中级,2021-01-31,True,82.8
OP014,操作员14,15.7,白班,中级,2018-06-20,True,94.1
OP015,操作员15,4.5,晚班,高级,2025-03-25,False,91.3
OP016,操作员16,16.2,任意,中级,2021-05-08,True,77.6
OP017,操作员17,10.4,晚班,中级,2019-10-23,False,78.5
OP018,操作员18,4.4,白班,中级,2021-01-23,True,94.1
OP019,操作员19,7.6,晚班,初级,2023-11-26,True,86.6
OP020,操作员20,14.6,任意,高级,2023-06-19,True,77.7
OP021,操作员21,16.1,晚班,中级,2018-05-18,False,85.4
OP022,操作员22,7.3,夜班,中级,2020-06-03,True,86.8
OP023,操作员23,11.8,任意,技师,2018-03-22,True,76.0
OP024,操作员24,17.9,晚班,中级,2024-12-28,True,95.9
OP025,操作员25,10.4,任意,技师,2023-06-08,True,91.6
OP026,操作员26,12.0,白班,高级,2019-10-22,False,92.7
OP027,操作员27,2.2,夜班,高级,2022-07-31,False,95.6
OP028,操作员28,13.1,夜班,高级,2019-06-05,True,90.0
OP029,操作员29,11.8,白班,中级,2018-11-15,True,92.5
OP030,操作员30,17.6,夜班,技师,2020-07-08,True,83.5
OP031,操作员31,9.3,夜班,高级,2018-02-17,True,87.5
OP032,操作员32,17.7,晚班,高级,2023-01-16,True,84.8
OP033,操作员33,13.1,任意,中级,2022-12-11,True,85.2
OP034,操作员34,8.9,白班,高级,2018-10-10,True,84.6
OP035,操作员35,8.7,夜班,中级,2021-07-08,True,88.0
OP036,操作员36,15.7,夜班,高级,2022-01-09,False,79.4
OP037,操作员37,9.5,白班,初级,2023-05-30,True,83.3
OP038,操作员38,5.0,晚班,中级,2018-06-19,True,94.6
OP039,操作员39,12.8,白班,技师,2018-08-19,True,87.3
OP040,操作员40,2.9,任意,高级,2019-10-30,True,80.8
OP041,操作员41,11.7,夜班,初级,2023-06-19,True,76.6
OP042,操作员42,1.8,晚班,技师,2022-03-05,True,95.0
OP043,操作员43,17.4,夜班,高级,2018-12-25,True,97.4
OP044,操作员44,6.8,白班,高级,2023-10-14,False,92.4
OP045,操作员45,11.0,夜班,高级,2023-08-26,False,97.4
OP046,操作员46,9.4,晚班,技师,2025-07-20,True,91.4
OP047,操作员47,15.1,任意,中级,2020-02-20,True,88.9
OP048,操作员48,14.4,夜班,技师,2023-12-05,True,86.3
